Iteración,Valor_familiares,Valor_representantes,Valor_contadores,Resolución,Valor_AMI
1.0,0.4928592751905817,0.6997072542802685,0.24399323028163716,0.21977269135160937,-0.6545423607618664
2.0,0.8583466844189678,0.5929308368418319,0.39719309701374167,0.16240657232156597,-0.6506506286232443
3.0,0.612253648121463,0.3174691748399381,0.49167190028861857,0.3782628373214597,-0.6834729206185614
4.0,0.7029753255955331,0.6075777062293732,0.6986584417110964,0.2407188395355649,-0.6287755130088298
5.0,0.7928354973574382,0.9470743585306975,0.8384364151831262,0.15369419675803198,-0.6407605215121667
6.0,0.3277836347959247,0.5673377007842615,0.860284628185136,0.3813663453449184,-0.6291948083706291
7.0,0.6041849231923775,0.9163388392588246,0.20357905339872956,0.13611766528459168,-0.6255268967134148
8.0,0.1358967268630547,0.21184647593752343,0.5224366780606858,0.16740437555894538,-0.6407330194664744
9.0,0.7270460656854523,0.1558044193165567,0.779729173773981,0.18057359350029453,-0.6873800539405891
10.0,0.45360903234307015,0.702690920908376,0.972254889064996,0.3529293098858072,-0.6340426076373171
11.0,0.7886166941425978,0.17727497748684318,0.5836296068716765,0.35683205473360047,-0.7019816199665232
12.0,0.5230424474295527,0.7394617589078407,0.2964791504101901,0.22078370047257473,-0.6413972508265385
13.0,0.9684200696025269,0.8245877901533505,0.28559764512355634,0.3372909811490309,-0.6436673614612194
14.0,0.24374793580494325,0.35330503995464513,0.143267634183945,0.23649989947727457,-0.6713158350045967
15.0,0.3847438821970559,0.3018477229390172,0.11987809666149962,0.13321520326639963,-0.6108089034626982
16.0,0.4334635558084664,0.6622446938137859,0.5765406650360574,0.19431069768807843,-0.6284525859704482
17.0,0.8718860801295543,0.41805352407545626,0.6751001800064884,0.14185529474597014,-0.6596657476136818
18.0,0.4703377447549053,0.1096515431820157,0.9914803616278169,0.15506256682660807,-0.6793146176250313
19.0,0.36158744916801394,0.772952911949585,0.5410464323007189,0.17350543198618498,-0.6077168085902437
